   H-    1S        -0.5271072     =>   H-    1P        -0.5000000    -  
    1.41421356E 1( 1s  1,9p1  1)( 1s| 2s) 1
    1.41421356E 1( 1s  1,2ph  2)( 1s|9s1) 1
    1.41421356E 1( 1s  1,9p2  4)( 1s|3sh) 1
    1.41421356E 1( 1s  1,3ph  5)( 1s|9s2) 1
    1.41421356E 1( 1s  1,kpc  9)( 1s| 1s) 1
    1.41421356E 1( 2s  2,9p1  1)( 2s| 2s) 1
    1.41421356E 1( 2s  2,2ph  2)( 2s|9s1) 1
    1.41421356E 1( 2s  2,9p2  4)( 2s|3sh) 1
    1.41421356E 1( 2s  2,3ph  5)( 2s|9s2) 1
    1.41421356E 1( 2s  2,kpc  9)( 2s| 1s) 1
    0.81649658E 1( 2p  3, 2s  1)( 2p|9p1) 1
    0.81649658E 1( 2p  3,9s1  2)( 2p|2ph) 1
    0.81649658E 1( 2p  3,9d1  3)( 2p|2ph) 1
    0.81649658E 1( 2p  3,3sh  4)( 2p|9p2) 1
    0.81649658E 1( 2p  3,9s2  5)( 2p|3ph) 1
    0.81649658E 1( 2p  3,9d2  6)( 2p|3ph) 1
    0.81649658E 1( 2p  3,3dh  7)( 2p|9p3) 1
    0.81649658E 1( 2p  3, 1s  9)( 2p|kpc) 1
    1.41421356E 1( 3s  4,9p1  1)( 3s| 2s) 1
    1.41421356E 1( 3s  4,2ph  2)( 3s|9s1) 1
    1.41421356E 1( 3s  4,9p2  4)( 3s|3sh) 1
    1.41421356E 1( 3s  4,3ph  5)( 3s|9s2) 1
    1.41421356E 1( 3s  4,kpc  9)( 3s| 1s) 1
    0.81649658E 1( 3p  5, 2s  1)( 3p|9p1) 1
    0.81649658E 1( 3p  5,9s1  2)( 3p|2ph) 1
    0.81649658E 1( 3p  5,9d1  3)( 3p|2ph) 1
    0.81649658E 1( 3p  5,3sh  4)( 3p|9p2) 1
    0.81649658E 1( 3p  5,9s2  5)( 3p|3ph) 1
    0.81649658E 1( 3p  5,9d2  6)( 3p|3ph) 1
    0.81649658E 1( 3p  5,3dh  7)( 3p|9p3) 1
    0.81649658E 1( 3p  5, 1s  9)( 3p|kpc) 1
    0.63245553E 1( 3d  6,2ph  3)( 3d|9d1) 1
    0.63245553E 1( 3d  6,3ph  6)( 3d|9d2) 1
    0.63245553E 1( 3d  6,9p3  7)( 3d|3dh) 1
    0.63245553E 1( 3d  6,9f1  8)( 3d|3dh) 1
              *
              *
