    k^2         sum(c^2)      delta       delta/pi
  0.600000    0.0522783   -0.050479   -0.016068
  0.580000    0.0478980   -0.051027   -0.016242
  0.560000    0.0444460   -0.051233   -0.016308
  0.540000    0.0416677   -0.051144   -0.016280
  0.520000    0.0394776   -0.050755   -0.016156
  0.500000    0.0375641   -0.050135   -0.015958
  0.480000    0.0359515   -0.049258   -0.015679
  0.460000    0.0345887   -0.048148   -0.000735
  0.440000    0.0334178   -0.046777   -0.014889
  0.420000    0.0324169   -0.045155   -0.014373
  0.400000    0.0316058   -0.043271   -0.013774
  0.380000    0.0308446   -0.041173   -0.013106
  0.360000    0.0301773   -0.038846   -0.012365
  0.340000    0.0295809   -0.036270   -0.011545
  0.320000    0.0290509   -0.033439   -0.010644
  0.300000    0.0285988   -0.030337   -0.009657
  0.280000    0.0281416   -0.026597   -0.008466
  0.260000    0.0276969   -0.023107   -0.007355
  0.240000    0.0272829   -0.019396   -0.006174
  0.220000    0.0268152   -0.015485   -0.004929
  0.200000    0.0263071   -0.011202   -0.003566
  0.180000    0.0257511   -0.007117   -0.002265
  0.160000    0.0250633   -0.002773   -0.000883
  0.140000    0.0242460    0.001230    0.000391
  0.120000    0.0231943    0.005221    0.001662
  0.100000    0.0218590    0.008673    0.002761
  0.090000    0.0210459    0.010260    0.003266
  0.089000    0.0209569    0.010396    0.003309
  0.088000    0.0208665    0.010530    0.003352
  0.087000    0.0207747    0.010662    0.003394
  0.086000    0.0206815    0.010793    0.003436
  0.085000    0.0205869    0.010923    0.003477
  0.084000    0.0204908    0.011051    0.003518
  0.083000    0.0203932    0.011177    0.003558
  0.082000    0.0202941    0.011302    0.003598
  0.081000    0.0201935    0.011426    0.003637
  0.080000    0.0200902    0.011547    0.003675
  0.079000    0.0199862    0.011667    0.003714
  0.078000    0.0198806    0.011787    0.003752
  0.077000    0.0197734    0.011905    0.003789
  0.076000    0.0196647    0.012021    0.003827
  0.075000    0.0195543    0.012137    0.003863
  0.074000    0.0194423    0.012250    0.003899
  0.073000    0.0193287    0.012362    0.003935
  0.072000    0.0192123    0.012474    0.003971
  0.071000    0.0191035    0.012565    0.003999
  0.070000    0.0189840    0.012647    0.004026
  0.069000    0.0188624    0.012727    0.004051
  0.068000    0.0187388    0.012804    0.004076
  0.067000    0.0186129    0.012878    0.004099
  0.066000    0.0184849    0.012950    0.004122
  0.065000    0.0183546    0.013020    0.004144
  0.064000    0.0182221    0.013087    0.004166
  0.063000    0.0180872    0.013152    0.004186
  0.062000    0.0179490    0.013213    0.004206
  0.061000    0.0178091    0.013273    0.004225
  0.060000    0.0176668    0.013331    0.004244
  0.059000    0.0175221    0.013387    0.004261
  0.058000    0.0173749    0.013441    0.004278
  0.057000    0.0172252    0.013492    0.004295
  0.056000    0.0170730    0.013539    0.004310
  0.055000    0.0169233    0.013552    0.004314
  0.054000    0.0167650    0.013564    0.004318
  0.053000    0.0166035    0.013573    0.004320
  0.052000    0.0164389    0.013577    0.004322
  0.051000    0.0162711    0.013579    0.004322
  0.050000    0.0160999    0.013576    0.004321
  0.049000    0.0159254    0.013571    0.004320
  0.048000    0.0157465    0.013561    0.004317
  0.047000    0.0155647    0.013549    0.004313
  0.046000    0.0153795    0.013534    0.004308
  0.045000    0.0151907    0.013516    0.004302
  0.044000    0.0149983    0.013495    0.004295
  0.043000    0.0148075    0.013471    0.004288
  0.042000    0.0146074    0.013438    0.004277
  0.041000    0.0144001    0.013296    0.004232
  0.040000    0.0141904    0.013219    0.004208
  0.039000    0.0139762    0.013139    0.004182
  0.038000    0.0137567    0.013053    0.004155
  0.037000    0.0135327    0.012964    0.004127
  0.036000    0.0133039    0.012873    0.004098
  0.035000    0.0130703    0.012778    0.004067
  0.034000    0.0128318    0.012678    0.004035
  0.033000    0.0125923    0.012573    0.004002
  0.032000    0.0123407    0.012360    0.003934
  0.031000    0.0120851    0.012226    0.003892
  0.030000    0.0118236    0.012088    0.003848
  0.029000    0.0115553    0.011941    0.003801
  0.028000    0.0112788    0.011682    0.003719
  0.027000    0.0109978    0.011508    0.003663
  0.026000    0.0107137    0.011330    0.003606
  0.025000    0.0104196    0.011140    0.003546
  0.024000    0.0101156    0.010829    0.003447
  0.023000    0.0098058    0.010613    0.003378
  0.022000    0.0094865    0.010284    0.003274
  0.021000    0.0091610    0.010036    0.003195
  0.020000    0.0088305    0.009785    0.003115
  0.019000    0.0084870    0.009411    0.002996
  0.018000    0.0081363    0.009129    0.002906
  0.017000    0.0077743    0.008729    0.002778
  0.016000    0.0074051    0.008416    0.002679
  0.015000    0.0070274    0.007990    0.002543
  0.014000    0.0066385    0.007650    0.002435
  0.013000    0.0062382    0.007191    0.002289
  0.012000    0.0058309    0.006831    0.002174
  0.011000    0.0054100    0.006342    0.002019
  0.010000    0.0049777    0.005842    0.001860
  0.009000    0.0045363    0.005334    0.001698
  0.008000    0.0040817    0.004815    0.001533
  0.007000    0.0036170    0.004289    0.001365
  0.006000    0.0031391    0.003759    0.001197
  0.005000    0.0026501    0.003241    0.001032
  0.004000    0.0021481    0.002620    0.000834
  0.003000    0.0016334    0.002041    0.000650
  0.002000    0.0011054    0.001436    0.000457
